Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
javascript.express.security.audit.remote-property-injection.remote-property-injection,"Bracket object notation with user input is present, this might allow an attacker to access all properties of the object and even it's prototype. Use literal values for object properties.",open,2024-08-28T17:02:07.491027Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'public/js/jquery-3.2.1-min.js', 'line': 4, 'column': 21458, 'end_line': 4, 'end_column': 21886}"
go.lang.security.audit.sqli.gosql-sqli.gosql-sqli,"Detected string concatenation with a non-literal variable in a ""database/sql"" Go SQL statement. This could lead to SQL injection if the variable is user-controlled and not properly sanitized. In order to prevent SQL injection, use parameterized queries or prepared statements instead. You can use prepared statements with the 'Prepare' and 'PrepareContext' calls.",open,2024-08-19T14:19:00.924282Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/database/database.go', 'line': 24, 'column': 11, 'end_line': 24, 'end_column': 68}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",open,2024-08-19T14:19:00.924276Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'templates/template.header.html', 'line': 13, 'column': 41, 'end_line': 13, 'end_column': 52}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",open,2024-08-19T14:19:00.924271Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'templates/template.header.html', 'line': 14, 'column': 41, 'end_line': 14, 'end_column': 52}"
dgryski.semgrep-go.errnilcheck.err-nil-check,superfluous nil err check before return,open,2024-08-19T14:19:00.924266Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'setup/function.go', 'line': 58, 'column': 2, 'end_line': 61, 'end_column': 12}"
dgryski.semgrep-go.errnilcheck.err-nil-check,superfluous nil err check before return,open,2024-08-19T14:19:00.924260Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'setup/function.go', 'line': 74, 'column': 2, 'end_line': 77, 'end_column': 12}"
dgryski.semgrep-go.errnilcheck.err-nil-check,superfluous nil err check before return,open,2024-08-19T14:19:00.924255Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/idor/function.go', 'line': 50, 'column': 2, 'end_line': 53, 'end_column': 12}"
dgryski.semgrep-go.errnilcheck.err-nil-check,superfluous nil err check before return,open,2024-08-19T14:19:00.924248Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/idor/function.go', 'line': 76, 'column': 2, 'end_line': 79, 'end_column': 12}"
dgryski.semgrep-go.errnilcheck.err-nil-check,superfluous nil err check before return,open,2024-08-19T14:19:00.924243Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/sqli/function.go', 'line': 76, 'column': 2, 'end_line': 79, 'end_column': 12}"
dgryski.semgrep-go.ioutil.deprecated-ioutil-readfile,ioutil.ReadFile is deprecated,open,2024-08-19T14:19:00.924238Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/config/config.go', 'line': 24, 'column': 14, 'end_line': 24, 'end_column': 51}"
go.gorilla.security.audit.session-cookie-missing-httponly.session-cookie-missing-httponly,A session cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie which mitigates XSS attacks. Set the 'HttpOnly' flag by setting 'HttpOnly' to 'true' in the Options struct.,open,2024-08-19T14:19:00.924232Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'user/session/session.go', 'line': 28, 'column': 20, 'end_line': 32, 'end_column': 3}"
go.gorilla.security.audit.session-cookie-missing-httponly.session-cookie-missing-httponly,A session cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie which mitigates XSS attacks. Set the 'HttpOnly' flag by setting 'HttpOnly' to 'true' in the Options struct.,open,2024-08-19T14:19:00.924227Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'user/session/session.go', 'line': 67, 'column': 20, 'end_line': 70, 'end_column': 3}"
go.gorilla.security.audit.session-cookie-missing-secure.session-cookie-missing-secure,A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.,open,2024-08-19T14:19:00.924222Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'user/session/session.go', 'line': 28, 'column': 20, 'end_line': 32, 'end_column': 3}"
go.gorilla.security.audit.session-cookie-missing-secure.session-cookie-missing-secure,A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.,open,2024-08-19T14:19:00.924216Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'user/session/session.go', 'line': 67, 'column': 20, 'end_line': 70, 'end_column': 3}"
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-md5,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,open,2024-08-19T14:19:00.924211Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'user/user.go', 'line': 160, 'column': 12, 'end_line': 160, 'end_column': 21}"
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-md5,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,open,2024-08-19T14:19:00.924204Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/csa/csa.go', 'line': 62, 'column': 12, 'end_line': 62, 'end_column': 21}"
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-md5,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,open,2024-08-19T14:19:00.924199Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/idor/idor.go', 'line': 164, 'column': 12, 'end_line': 164, 'end_column': 21}"
go.lang.security.audit.database.string-formatted-query.string-formatted-query,String-formatted SQL query detected. This could lead to SQL injection if the string is not sanitized properly. Audit this call to ensure the SQL is not manipulable by external data.,open,2024-08-19T14:19:00.924193Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/database/database.go', 'line': 24, 'column': 11, 'end_line': 24, 'end_column': 68}"
go.lang.security.audit.database.string-formatted-query.string-formatted-query,String-formatted SQL query detected. This could lead to SQL injection if the string is not sanitized properly. Audit this call to ensure the SQL is not manipulable by external data.,open,2024-08-19T14:19:00.924187Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/sqli/function.go', 'line': 37, 'column': 2, 'end_line': 40, 'end_column': 27}"
go.lang.security.audit.net.cookie-missing-httponly.cookie-missing-httponly,A session cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie which mitigates XSS attacks. Set the 'HttpOnly' flag by setting 'HttpOnly' to 'true' in the Cookie.,open,2024-08-19T14:19:00.924181Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/cookie.go', 'line': 32, 'column': 12, 'end_line': 37, 'end_column': 3}"
go.lang.security.audit.net.cookie-missing-httponly.cookie-missing-httponly,A session cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie which mitigates XSS attacks. Set the 'HttpOnly' flag by setting 'HttpOnly' to 'true' in the Cookie.,open,2024-08-19T14:19:00.924176Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/cookie.go', 'line': 48, 'column': 14, 'end_line': 52, 'end_column': 4}"
go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure,A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.,open,2024-08-19T14:19:00.924170Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/cookie.go', 'line': 32, 'column': 12, 'end_line': 37, 'end_column': 3}"
go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure,A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.,open,2024-08-19T14:19:00.924164Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/cookie.go', 'line': 48, 'column': 14, 'end_line': 52, 'end_column': 4}"
go.lang.security.audit.net.formatted-template-string.formatted-template-string,"Found a formatted template string passed to 'template.HTML()'. 'template.HTML()' does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability.",open,2024-08-19T14:19:00.924157Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 52, 'column': 3, 'end_line': 65, 'end_column': 4}"
go.lang.security.audit.net.formatted-template-string.formatted-template-string,"Found a formatted template string passed to 'template.HTML()'. 'template.HTML()' does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability.",open,2024-08-19T14:19:00.924152Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 53, 'column': 3, 'end_line': 65, 'end_column': 4}"
go.lang.security.audit.net.formatted-template-string.formatted-template-string,"Found a formatted template string passed to 'template.HTML()'. 'template.HTML()' does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability.",open,2024-08-19T14:19:00.924146Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 61, 'column': 4, 'end_line': 63, 'end_column': 38}"
go.lang.security.audit.net.formatted-template-string.formatted-template-string,"Found a formatted template string passed to 'template.HTML()'. 'template.HTML()' does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability.",open,2024-08-19T14:19:00.924141Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 96, 'column': 2, 'end_line': 100, 'end_column': 44}"
go.lang.security.audit.xss.no-direct-write-to-responsewriter.no-direct-write-to-responsewriter,"Detected directly writing or similar in 'http.ResponseWriter.write()'. This bypasses HTML escaping that prevents cross-site scripting vulnerabilities. Instead, use the 'html/template' package and render data using 'template.Execute()'.",open,2024-08-19T14:19:00.924135Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/template.go', 'line': 35, 'column': 2, 'end_line': 35, 'end_column': 12}"
go.lang.security.audit.xss.template-html-does-not-escape.unsafe-template-type,"Semgrep could not determine that the argument to 'template.HTML()' is a constant. 'template.HTML()' and similar does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability. Instead, do not use this function and use 'template.Execute()'.",open,2024-08-19T14:19:00.924129Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'util/template.go', 'line': 45, 'column': 9, 'end_line': 45, 'end_column': 28}"
go.lang.security.audit.xss.template-html-does-not-escape.unsafe-template-type,"Semgrep could not determine that the argument to 'template.HTML()' is a constant. 'template.HTML()' and similar does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability. Instead, do not use this function and use 'template.Execute()'.",open,2024-08-19T14:19:00.924124Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 58, 'column': 20, 'end_line': 58, 'end_column': 40}"
go.lang.security.audit.xss.template-html-does-not-escape.unsafe-template-type,"Semgrep could not determine that the argument to 'template.HTML()' is a constant. 'template.HTML()' and similar does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability. Instead, do not use this function and use 'template.Execute()'.",open,2024-08-19T14:19:00.924118Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 59, 'column': 19, 'end_line': 59, 'end_column': 42}"
go.lang.security.audit.xss.template-html-does-not-escape.unsafe-template-type,"Semgrep could not determine that the argument to 'template.HTML()' is a constant. 'template.HTML()' and similar does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability. Instead, do not use this function and use 'template.Execute()'.",open,2024-08-19T14:19:00.924112Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 62, 'column': 20, 'end_line': 62, 'end_column': 40}"
go.lang.security.audit.xss.template-html-does-not-escape.unsafe-template-type,"Semgrep could not determine that the argument to 'template.HTML()' is a constant. 'template.HTML()' and similar does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability. Instead, do not use this function and use 'template.Execute()'.",open,2024-08-19T14:19:00.924106Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 63, 'column': 19, 'end_line': 63, 'end_column': 38}"
go.lang.security.audit.xss.template-html-does-not-escape.unsafe-template-type,"Semgrep could not determine that the argument to 'template.HTML()' is a constant. 'template.HTML()' and similar does not escape contents. Be absolutely sure there is no user-controlled data in this template. If user data can reach this template, you may have a XSS vulnerability. Instead, do not use this function and use 'template.Execute()'.",open,2024-08-19T14:19:00.924101Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 100, 'column': 21, 'end_line': 100, 'end_column': 44}"
go.lang.security.injection.raw-html-format.raw-html-format,"Detected user input flowing into a manually constructed HTML string. You may be accidentally bypassing secure methods of rendering HTML by manually constructing HTML and this could create a cross-site scripting vulnerability, which could let attackers steal sensitive user data. Use the `html/template` package which will safely render HTML instead, or inspect that the HTML is rendered safely.",open,2024-08-19T14:19:00.924095Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 96, 'column': 14, 'end_line': 96, 'end_column': 64}"
go.net.xss.formatted-template-string-taint.formatted-template-string-taint,"Untrusted input could be used to tamper with a web page rendering, which can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input. For more information, see: [Go XSS prevention](https://semgrep.dev/docs/cheat-sheets/go-xss/).",open,2024-08-19T14:19:00.924089Z,medium,high,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'vulnerability/xss/xss.go', 'line': 100, 'column': 21, 'end_line': 100, 'end_column': 44}"
html.security.audit.missing-integrity.missing-integrity,"This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) you’re telling the browser to fetch in the 'integrity' attribute for all externally hosted files.",open,2024-08-19T14:19:00.924084Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/go-app', 'url': 'https://github.com/Semgrep-Demo/go-app'}","{'file_path': 'templates/cart.html', 'line': 7, 'column': 5, 'end_line': 7, 'end_column': 71}"
